The base currency: U.S. dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Australia,Canada,Denmark,UK,Japan,Korea,Norway,Sweden,Switzerland,Austria,Belgium,France,Germany,Spain,Italy,Finland,Netherlands,United States,,Australia,Canada,Denmark,UK,Japan,Korea,Norway,Sweden,Switzerland,Austria,Belgium,France,Germany,Spain,Italy,Finland,Netherlands,United States
,AUS,CAN,DEN,GBR,JPN,KOR,NOR,SWE,CHE,AUT,BEL,FRA,GER,ESP,ITA,FIN,NET,USA,,AUS,CAN,DEN,GBR,JPN,KOR,NOR,SWE,CHE,AUT,BEL,FRA,GER,ESP,ITA,FIN,NET,USA
,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,,S_AUS,S_CAN,S_DEN,S_GBR,S_JPN,S_KOR,S_NOR,S_SWE,S_CHE,S_AUT,S_BEL,S_FRA,S_GER,S_ESP,S_ITA,S_FIN,S_NET,S_USA
1976.1,-0.2220229236,-0.0159261506,1.8037703819,-0.6500830911,5.7027819743,6.1820849067,1.7070182408,1.4817181708,0.9298780054,2.9030685887,3.6648428763,1.540944916,0.9314945656,4.2037219992,6.7337232688,1.344430157,0.9882392312,0,1976.1,0.8008970046,0.9842,6.0725,0.5220024012,299.7,484,5.5125,4.4005,2.5342,18.23,39.05,4.669,2.5383,66.935,840.27,3.836,2.6865,1
1976.2,-0.2115566821,-0.031903549,1.8164520818,-0.5773434348,5.695078034,6.1820849067,1.7160476475,1.4931737227,0.9054319885,2.9128939952,3.6812882134,1.5560898769,0.9455388062,4.218050762,6.7339969528,1.3576376519,1.0063142345,0,1976.2,0.8093234056,0.9686,6.15,0.5613877505,297.4,484,5.5625,4.4512,2.473,18.41,39.6975,4.74025,2.5742,67.901,840.5,3.887,2.7355,1
1976.3,-0.2129315862,-0.0271656681,1.7698546338,-0.5173045899,5.6610489321,6.1820849067,1.6724127116,1.4546536986,0.8978008426,2.8502728815,3.6272699725,1.5947059277,0.8905625833,4.2161786406,6.7564671648,1.351961682,0.9433220709,0,1976.3,0.8082114281,0.9732,5.87,0.5961251863,287.45,484,5.325,4.283,2.4542,17.2925,37.61,4.92688,2.4365,67.774,859.6,3.865,2.5685,1
1976.4,-0.0828694778,0.0091579378,1.7557004194,-0.5320390202,5.6794897821,6.1820849067,1.6457698417,1.4174295901,0.8958839221,2.819442489,3.5830327092,1.603369537,0.8597203804,4.2237340557,6.7742238864,1.3262789287,0.8989410935,0,1976.4,0.9204712813,1.0092,5.7875,0.587406015,292.8,484,5.185,4.1265,2.4495,16.7675,35.9825,4.96975,2.3625,68.288,875,3.767,2.457,1
1977.1,-0.098124398,0.0552454742,1.7666980386,-0.5423824287,5.6258209332,6.1820849067,1.6553668443,1.4346082214,0.9328724915,2.8301203303,3.6001848431,1.6032689233,0.8707492849,4.2292687345,6.7882169537,1.3350010667,0.9130856009,0,1977.1,0.9065361255,1.0568,5.8515,0.5813615487,277.5,484,5.235,4.198,2.5418,16.9475,36.605,4.96925,2.3887,68.667,887.33,3.8,2.492,1
1977.2,-0.1093027349,0.0581745641,1.7966640886,-0.5424405631,5.5898669505,6.1820849067,1.6705330118,1.4812635737,0.9006896656,2.8084986724,3.5844906884,1.5931560799,0.849295863,4.2427645673,6.7853277242,1.3992105864,0.9052297845,0,1977.2,0.896458987,1.0599,6.0295,0.5813277526,267.7,484,5.315,4.3985,2.4613,16.585,36.035,4.91925,2.338,69.6,884.77,4.052,2.4725,1
1977.3,-0.1021955123,0.0708311808,1.8175084343,-0.5576137853,5.581426499,6.1820849067,1.7052025344,1.5754053177,0.8028980445,2.8038148231,3.5763404569,1.5898982506,0.8361213495,4.4388203987,6.7824754626,1.4243124283,0.8987375726,0,1977.3,0.9028530155,1.0734,6.1565,0.5725737189,265.45,484,5.5025,4.8327,2.232,16.5075,35.7425,4.90325,2.3074,84.675,882.25,4.155,2.4565,1
1977.4,-0.1322555791,0.0902062679,1.7539710632,-0.6450068052,5.4806389233,6.1820849067,1.6369557985,1.5410519996,0.6931471806,2.7170099425,3.4946877247,1.548625773,0.7443154671,4.3933621443,6.7702732357,1.3907842664,0.824175443,0,1977.4,0.8761170492,1.0944,5.7775,0.5246589717,240,484,5.1395,4.6695,2,15.135,32.94,4.705,2.105,80.912,871.55,4.018,2.28,1
1978.1,-0.13374387,0.1241626426,1.7163172741,-0.6185852592,5.4044775624,6.1820849067,1.6692151165,1.523618552,0.6251359699,2.6786213904,3.4493524235,1.5218081625,0.7045815582,4.3823140934,6.7481732092,1.4269563428,0.7717272807,0,1978.1,0.874814102,1.1322,5.564,0.5387060281,222.4,484,5.308,4.5888,1.8685,14.565,31.48,4.5805,2.023,80.023,852.5,4.166,2.1635,1
1978.2,-0.137585663,0.1173384924,1.7301499876,-0.6206840088,5.3215454927,6.1820849067,1.6869543549,1.5207159824,0.6196620913,2.706382144,3.4876808416,1.5044106746,0.7301057215,4.3670652695,6.7505750146,1.4452705662,0.8031220338,0,1978.2,0.871459695,1.1245,5.6415,0.5375766047,204.7,484,5.403,4.5755,1.8583,14.975,32.71,4.5015,2.0753,78.812,854.55,4.243,2.2325,1
1978.3,-0.1454846667,0.1681381123,1.6794302843,-0.6790989648,5.2425403511,6.1820849067,1.6364692515,1.4825132189,0.4337285734,2.6419103986,3.4193646856,1.4657984622,0.6619660631,4.2804229422,6.7135635496,1.3930216819,0.7450278024,0,1978.3,0.8646031472,1.1831,5.3625,0.5070736778,189.15,484,5.137,4.404,1.543,14.04,30.55,4.331,1.9386,72.271,823.5,4.027,2.1065,1
1978.4,-0.1401966305,0.1705863006,1.6272778306,-0.7102500885,5.2709461698,6.1820849067,1.6139278177,1.4575679631,0.4824261492,2.5928263878,3.3603753871,1.4303112465,0.603222473,4.2500654372,6.7211244506,1.3676210959,0.6775257997,0,1978.4,0.8691873099,1.186,5.09,0.4915212583,194.6,484,5.0225,4.2955,1.62,13.3675,28.8,4.18,1.828,70.11,829.75,3.926,1.969,1
1979.1,-0.1117202496,0.1489371128,1.6470226728,-0.726968729,5.3437686295,6.1820849067,1.6308079382,1.4751061996,0.5253200699,2.6172133344,3.3857452771,1.4579171048,0.6246541841,4.2224152389,6.7332828371,1.3810305314,0.7001227943,0,1979.1,0.8942944017,1.1606,5.1915,0.4833720031,209.3,484,5.108,4.3715,1.691,13.6975,29.54,4.297,1.8676,68.198,839.9,3.979,2.014,1
