Note     AustraliaCanada   Denmark  UK       Japan    Korea    Norway   Sweden   SwitzerlaAustria  Belgium  France   Germany  Spain    Italy    Finland  NetherlandsUnited Stat         AustraliaCanada   Denmark  UK      Japan    Korea    Norway   Sweden   SwitzerlaAustria  Belgium  France   Germany  Spain    Italy    Finland  NetherlanUnited State
         AUS      CAN      DEN      GBR      JPN      KOR      NOR      SWE      CHE      AUT      BEL      FRA      GER      ESP      ITA      FIN      NET        USA                 AUS      CAN      DEN      GBR     JPN      KOR      NOR      SWE      CHE      AUT      BEL      FRA      GER      ESP      ITA      FIN      NET      USA         
         m_1      m_2      m_3      m_4      m_5      m_6      m_7      m_8      m_9      m_10     m_11     m_12     m_13     m_14     m_15     m_16     m_17       m_18                M_AUS    M_CAN    M_DEN    M_GBR   M_JPN    M_KOR    M_NOR    M_SWE    M_CHE    M_AUT    M_BEL    M_FRA    M_GER    M_ESP    M_ITA    M_FIN    M_NET    M_USA       
   1995.2      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1995.2   277336   461613   543871     ###534233000136286400   612090   694020   442616  2088592  4376371  4783900  2056410 54514800      ###   310593   519556     4119445
   1995.3      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1995.3   289089   467326   548091     ###536918000139768100   615460   703570   444501  2103217  4360871  4836100  2076450 55043300      ###   307365   522076     4142017
   1995.4      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1995.4   299848   480395   574871     ###548986000153945500   616130   731810   458660  2157596  4459171  5192700  2195230 56494300      ###   319626   536161     4245934
   1996.1      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1996.1   301590   479338   592434     ###539483000151690500   640760   758380   480088  2172595  4739871  5074300  2198100 56262100      ###   307970   543221     4328282
   1996.2      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1996.2   306682   489305   587404     ###554513000159753800   635940   766300   486025  2165365  4959271  5121500  2207990 57413900      ###   309713   559041     4347278
   1996.3      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1996.3   313178   492234   588840     ###546704900169760100   631330   783120   486779  2166151  4971771  5134300  2221270 57155000      ###   305559   560329     4402915
   1996.4      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1996.4   331765   504246   621686     ###561663800178311600   645130   815780   502539  2213951  4872971  5398800  2358800 58135600      ###   310371   566050     4505464
   1997.1      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1997.1   334013   505736   625303     ###547452000182121500   639140   807480   526418  2238659  5012171  5386400  2312130 57206500      ###   311217   580254     4585458
   1997.2      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1997.2   343024   516245   649103     ###562164000187790900   657980   807110   535426  2241225  5195471  5470000  2316020 58468300      ###   314160   594389     4628676
   1997.3      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1997.3   348181   536292   648690     ###555260000197590200   675360   799850   530382  2232024  5291271  5544900  2310030 57534000      ###   310687   598721     4663178
   1997.4      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1997.4   356020   547412   664077     ###578896000203532000   674590   826240   535828  2260440  5367071  5792000  2409860 59017900      ###   317900   604401     4804840
   1998.1      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1998.1      ###      ###   697458     ###      ###204162000      ###   788207   554418      ###      ###      ###      ###      ###      ###      ###      ###         ###
   1998.2      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1998.2      ###      ###   704659     ###      ###218342000      ###   804754   559327      ###      ###      ###      ###      ###      ###      ###      ###         ###
   1998.3      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1998.3      ###      ###   734179     ###      ###246669000      ###   819503   546953      ###      ###      ###      ###      ###      ###      ###      ###         ###
   1998.4      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1998.4      ###      ###   686161     ###      ###258538000      ###   822650   563146      ###      ###      ###      ###      ###      ###      ###      ###         ###
   1999.1      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1999.1      ###      ###   728140     ###      ###278262000      ###   832281   582162      ###      ###      ###      ###      ###      ###      ###      ###         ###
   1999.2      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1999.2      ###      ###   717864     ###      ###275966000      ###   849753   589750      ###      ###      ###      ###      ###      ###      ###      ###         ###
   1999.3      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1999.3      ###      ###   682183     ###      ###306187000      ###   863452   616308      ###      ###      ###      ###      ###      ###      ###      ###         ###
   1999.4      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1999.4      ###      ###   680040     ###      ###329317000      ###   892691   637930      ###      ###      ###      ###      ###      ###      ###      ###         ###
   2000.1      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   2000.1      ###      ###   682798     ###      ###350646000      ###   898839   652386      ###      ###      ###      ###      ###      ###      ###      ###         ###
   2000.2      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   2000.2      ###      ###   703971     ###      ###379872000      ###   908838   610564      ###      ###      ###      ###      ###      ###      ###      ###         ###
   2000.3      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   2000.3      ###      ###   657431     ###      ###392835000      ###   917823   603331      ###      ###      ###      ###      ###      ###      ###      ###         ###
   2000.4      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   2000.4      ###      ###   644907     ###      ###413049000      ###   909835   529926      ###      ###      ###      ###      ###      ###      ###      ###         ###
   2001.1      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   2001.1      ###      ###   645585     ###      ###413528000      ###      ###   533105      ###      ###      ###      ###      ###      ###      ###      ###         ###
   2001.2      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   2001.2      ###      ###   656193     ###      ###434895000      ###      ###   533426      ###      ###      ###      ###      ###      ###      ###      ###         ###
   2001.3      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   2001.3      ###      ###   670247     ###      ###457840000      ###      ###   525512      ###      ###      ###      ###      ###      ###      ###      ###         ###
   2001.4      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   2001.4      ###      ###   667907     ###      ###467577000      ###  1100880   550663      ###      ###      ###      ###      ###      ###      ###      ###         ###
   2002.1      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   2002.1      ###      ###   665538     ###      ###485965000      ###  1106280   551248      ###      ###      ###      ###      ###      ###      ###      ###         ###
   2002.2      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   2002.2      ###      ###   686065     ###      ###493739000      ###  1100610   555302      ###      ###      ###      ###      ###      ###      ###      ###         ###
   2002.3      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   2002.3      ###      ###   705050     ###      ###501403000      ###  1123620   566183      ###      ###      ###      ###      ###      ###      ###      ###         ###
   2002.4      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   2002.4      ###      ###   696237     ###      ###518904000      ###  1141450   582228      ###      ###      ###      ###      ###      ###      ###      ###         ###
   2003.1      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   2003.1      ###      ###   706990     ###      ###526759000      ###  1166640   602251      ###      ###      ###      ###      ###      ###      ###      ###         ###
   2003.2      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   2003.2      ###      ###   731157     ###      ###535529000      ###  1176180   611595      ###      ###      ###      ###      ###      ###      ###      ###         ###
   2003.3      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   2003.3      ###      ###   736356     ###      ###531952000      ###  1183030   619618      ###      ###      ###      ###      ###      ###      ###      ###         ###
   2003.4      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   2003.4      ###      ###   738270     ###      ###553583000      ###  1200410   630897      ###      ###      ###      ###      ###      ###      ###      ###         ###
   2004.1      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   2004.1      ###      ###   773418     ###      ###554277000      ###  1204540   637880      ###      ###      ###      ###      ###      ###      ###      ###         ###
   2004.2      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   2004.2      ###      ###   795798     ###      ###556367000      ###  1175930   640631      ###      ###      ###      ###      ###      ###      ###      ###         ###
   2004.3      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   2004.3      ###      ###   809077     ###      ###561938000      ###  1207430   634869      ###      ###      ###      ###      ###      ###      ###      ###         ###
   2004.4      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   2004.4      ###      ###   819618     ###      ###550027000      ###  1227720   648879      ###      ###      ###      ###      ###      ###      ###      ###         ###
   2005.1      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   2005.1      ###      ###   844179     ###      ###543621000      ###  1235430   661525      ###      ###      ###      ###      ###      ###      ###      ###         ###
   2005.2      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   2005.2      ###      ###   920604     ###      ###557657000      ###  1305020   671275      ###      ###      ###      ###      ###      ###      ###      ###         ###
   2005.3      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   2005.3      ###      ###   928805     ###      ###565286000      ###  1297160   679706      ###      ###      ###      ###      ###      ###      ###      ###         ###
   2005.4      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   2005.4      ###      ###   951663     ###      ###566859000      ###  1365720   692724      ###      ###      ###      ###      ###      ###      ###      ###         ###
   2006.1      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   2006.1      ###      ###   993549     ###      ###555494000      ###      ###   693632      ###      ###      ###      ###      ###      ###      ###      ###         ###
   2006.2      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   2006.2      ###      ###  1016780     ###      ###575817000      ###      ###   691999      ###      ###      ###      ###      ###      ###      ###      ###         ###
   2006.3      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   2006.3      ###      ###  1021440     ###      ###585004000      ###      ###   710173      ###      ###      ###      ###      ###      ###      ###      ###         ###
   2006.4      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   2006.4      ###      ###  1043280     ###      ###591818000      ###      ###   726822      ###      ###      ###      ###      ###      ###      ###      ###         ###
   2007.1      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   2007.1      ###      ###  1097820     ###      ###579264000      ###      ###   729434      ###      ###      ###      ###      ###      ###      ###      ###         ###
   2007.2      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   2007.2      ###      ###  1119100     ###      ###590671000      ###      ###   732974      ###      ###      ###      ###      ###      ###      ###      ###         ###
   2007.3      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   2007.3      ###      ###  1149100     ###      ###584079000      ###      ###   730465      ###      ###      ###      ###      ###      ###      ###      ###         ###
   2007.4      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   2007.4      ###      ###  1169980     ###      ###593783000      ###      ###   751014      ###      ###      ###      ###      ###      ###      ###      ###         ###
   2008.1      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   2008.1      ###      ###  1204030     ###      ###598854000      ###      ###   749908      ###      ###      ###      ###      ###      ###      ###      ###         ###
